instance,iterations,runtime_seconds,initial_cost,final_cost,improvement
s0m0.dat,100,0.5459499359130859,445,445,0
s0m1.dat,100,0.5517230033874512,445,445,0
s0m2.dat,100,0.5457110404968262,445,445,0
s0m3.dat,100,0.5523488521575928,445,445,0
