instance,iterations_or_generations,runtime_seconds,final_cost,pct_allocated
s0m0.dat,1379,0.44236159324645996,,100.0
s0m1.dat,1379,0.4811272621154785,,100.0
s0m2.dat,1379,0.4834165573120117,,100.0
s0m3.dat,1379,0.4476175308227539,,100.0
s100m0.dat,1379,0.4750077724456787,,100.0
s100m1.dat,1379,0.46376466751098633,,100.0
s100m2.dat,1379,0.46252012252807617,,100.0
s100m3.dat,1379,0.45462799072265625,,100.0
s101m0.dat,1379,0.3991565704345703,,100.0
s101m1.dat,1379,0.41851377487182617,,100.0
s101m2.dat,1379,0.4228229522705078,,100.0
s101m3.dat,1379,0.4139702320098877,,100.0
s102m0.dat,1379,0.3343510627746582,,100.0
s102m1.dat,1379,0.31871747970581055,,100.0
s102m2.dat,1379,0.2400531768798828,,100.0
s102m3.dat,1379,0.2436838150024414,,100.0
s103m0.dat,1379,0.2462007999420166,,100.0
s103m1.dat,1379,0.2190849781036377,,100.0
s103m2.dat,1379,0.2938568592071533,,100.0
s103m3.dat,1379,0.2759366035461426,,100.0
s104m0.dat,1379,0.46448349952697754,,100.0
s104m1.dat,1379,0.35976219177246094,,100.0
s104m2.dat,1379,0.42555928230285645,,100.0
s104m3.dat,1379,0.3586437702178955,,100.0
s105m0.dat,1379,0.3747844696044922,,100.0
s105m1.dat,1379,0.4577302932739258,,100.0
s105m2.dat,1379,0.4664597511291504,,100.0
s105m3.dat,1379,0.48142361640930176,,100.0
s106m0.dat,1379,0.3077523708343506,,100.0
s106m1.dat,1379,0.33275651931762695,,100.0
s106m2.dat,1379,0.3060319423675537,,100.0
s106m3.dat,1379,0.3034322261810303,,100.0
s107m0.dat,1379,0.4717409610748291,,100.0
s107m1.dat,1379,0.44618678092956543,,100.0
s107m2.dat,1379,0.39664435386657715,,100.0
s107m3.dat,1379,0.48216986656188965,,100.0
s108m0.dat,1379,0.3721504211425781,,100.0
s108m1.dat,1379,0.3362910747528076,,100.0
s108m2.dat,1379,0.4068737030029297,,100.0
s108m3.dat,1379,0.356029748916626,,100.0
s109m0.dat,1379,0.3965277671813965,,100.0
s109m1.dat,1379,0.48835062980651855,,100.0
s109m2.dat,1379,0.4887692928314209,,100.0
s109m3.dat,1379,0.4308054447174072,,100.0
s10m0.dat,1379,0.39025044441223145,,100.0
s10m1.dat,1379,0.47954487800598145,,100.0
s10m2.dat,1379,0.4967973232269287,,100.0
s10m3.dat,1379,0.46428632736206055,,100.0
s110m0.dat,1379,0.3768582344055176,,100.0
s110m1.dat,1379,0.39510607719421387,,100.0
s110m2.dat,1379,0.39766716957092285,,100.0
s110m3.dat,1379,0.36930203437805176,,100.0
s111m0.dat,1379,0.35718607902526855,,100.0
s111m1.dat,1379,0.35477542877197266,,100.0
s111m2.dat,1379,0.3868281841278076,,100.0
s111m3.dat,1379,0.4654712677001953,,100.0
s112m0.dat,1379,0.5291526317596436,,100.0
s112m1.dat,1379,0.5152974128723145,,100.0
s112m2.dat,1379,0.5657107830047607,,100.0
s112m3.dat,1379,0.4931023120880127,,100.0
s113m0.dat,1379,0.47159409523010254,,100.0
s113m1.dat,1379,0.4172663688659668,,100.0
s113m2.dat,1379,0.42907190322875977,,100.0
s113m3.dat,1379,0.40743374824523926,,100.0
s114m0.dat,1379,0.48723840713500977,,100.0
s114m1.dat,1379,0.3805844783782959,,100.0
s114m2.dat,1379,0.372633695602417,,100.0
s114m3.dat,1379,0.4207780361175537,,100.0
s115m0.dat,1379,0.31232357025146484,,100.0
s115m1.dat,1379,0.43752074241638184,,100.0
